City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
148,Vaini,TO,86.16,few clouds,-21.2,-175.2,Keleti Beach Resort
150,Port Blair,IN,75.24,mist,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
160,Yulara,AU,85.84,clear sky,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
163,Saint-Georges,GD,78.48,scattered clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
165,Sao Filipe,CV,79.38,overcast clouds,14.8961,-24.4956,Hotel Xaguate
168,Morant Bay,JM,80.22,few clouds,17.8815,-76.4093,Whispering Bamboo Cove Resort
174,Sisophon,KH,81.14,overcast clouds,13.5859,102.9737,Pyramid Hotel
180,Sibolga,ID,75.18,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
181,Castanhal,BR,78.39,heavy intensity rain,-1.2939,-47.9264,ESTAÇÃO HOTEL
183,Hilo,US,78.53,overcast clouds,19.7297,-155.09,Hilo Hawaiian Hotel
195,Merauke,ID,83.32,broken clouds,-8.4667,140.3333,
199,Vao,NC,80.33,overcast clouds,-22.6667,167.4833,Hotel Kou-Bugny
210,Nanakuli,US,81.77,clear sky,21.3906,-158.1547,Camp Pālehua
213,Alice Springs,AU,81.95,clear sky,-23.7,133.8833,Desert Palms Alice Springs
218,Takoradi,GH,79.11,scattered clouds,4.8845,-1.7554,Raybow International Hotel
219,Kavieng,PG,83.89,scattered clouds,-2.5744,150.7967,Nusa Island Retreat
220,Faanui,PF,80.62,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
226,Tela,HN,76.08,clear sky,15.7833,-87.45,Hotel & Restaurante Cesar Mariscos
231,Touros,BR,81.5,overcast clouds,-5.1989,-35.4608,INN NEW HORIZON
238,Thinadhoo,MV,80.96,broken clouds,0.5333,72.9333,
241,Omboue,GA,77.14,broken clouds,-1.5746,9.2618,Hotel Olako
247,Kudahuvadhoo,MV,80.83,overcast clouds,2.6708,72.8944,Niyama Private Islands Maldives
249,Half Moon Bay,US,76.24,clear sky,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
266,Bambous Virieux,MU,75.45,scattered clouds,-20.3428,57.7575,Casa Tia Villa
